" There was an error occurred during paying process.,"" Galat terjadi selama proses pembayaran."""
"An error has occured,""Sebuah galat telah terjadi"""
"An error occurred during the payment process.,""Galat terjadi selama proses pembayaran."""
"Bank,""Bank"""
"Credit Mutuel,""Mutuel Kredit"""
"Customer Interface language,""Bahasa antarmuka pelanggan"""
"Customer has returned from Cybermut.,""Pelanggan telah kembali dari Cybermut."""
"Customer was redirected to Cybermut,""Pelanggan di teruskan ke Cybermut"""
"Debug,""men-debug"""
"Dutch,""Belanda"""
"Enabled,""Mengaktifkan"""
"English,""Inggris"""
"French,""Prancis"""
"German,""Jerman"""
"Groupe CIC,""Groupe CIC"""
"Italian,""Italia"""
"Key,""Kunci"""
"New Order Status,""Status Pesanan Baru"""
"OBC,""OBC"""
"Order #%s,""Pesanan #%s"""
"Order number will be used if left empty.,""Nomor pesanan akan digunakan jika dibiarkan kosong."""
"Payment from Applicable Countries,""Pembayaran dari Negara yang Berlaku"""
"Payment from Specific Countries,""Pembayaran dari negara tertentu"""
"Returned MAC is invalid. Order cancelled.,""MAC yang dikembalikan tidak berlaku. Pesanan dibatalkan."""
"SHA Key,""Kunci SHA"""
"Site Code,""Situs Kode"""
"Sort Order,""Urutkan Pesanan"""
"Spain,""Spanyol"""
"TPE Number,""Nomor TPE"""
"Test Mode,""Mode Mencoba"""
"The customer successfully returned from Cybermut.,""Pelanggan telah berhasil kembali dari Cybermut."""
"Title,""Judul"""
"Transaction Description,""Deskripsi Transaksi"""
"You will be redirected to Cybermut in a few seconds.,""Anda akan diarahkan pada cybermut dalam beberapa detik."""
"You will be redirected to Cybermut website when you place an order.,""Anda akan diarahkan pada website Cybermut  ketika anda melakukan pemesanan."""
