" Copy"," Salin"
"Action","Aksi"
"Add New Template","Tambahkan template baru"
"Add to Queue","Tambahkan ke antrian"
"Allow Guest Subscription","Allow Guest Subscription"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Are you sure that you want to delete this template?","Apakah anda yakin ingin menghapus template ini?"
"Are you sure that you want to strip all tags?","Apakah Anda yakin bahwa Anda ingin memotong semua tag?"
"Back","Kembali"
"Cancel","Membatalkan"
"Cancelled","Dibatalkan"
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","Konfirmasi email pengirim"
"Confirmation Email Template","Konfirmasi template email"
"Confirmation request has been sent.","Confirmation request has been sent."
"Convert to Plain Text","Mengkonversi ke Teks Biasa "
"Create Newsletter Template","Buat template buletin"
"Customer","Pelanggan"
"Customer First Name","Customer First Name"
"Customer Last Name","Customer Last Name"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Date Added","Tanggal ditambahkan"
"Date Updated","Tanggal diperbarui"
"Delete","Delete"
"Delete Selected Problems","Hapus Masalah yang dipilih"
"Delete Template","Hapus template"
"Do you really want to cancel the queue?","Apakah Anda benar-benar ingin membatalkan antrian?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Sunting buletin"
"Edit Newsletter Template","Sunting template buletin"
"Edit Queue","Sunting antrian"
"Edit Template","Sunting template"
"Email","Email"
"Enter your email address","Masukan alamat email anda"
"Error Code","Kode Error"
"Error Text","Teks Error"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Ikuti tautan ini untuk tidak berlangganan <!-- Tag ini untuk tautan tidak berlangganan --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Tamu"
"ID","ID"
"Invalid queue selected.","Invalid queue selected."
"Invalid subscription ID.","Invalid subscription ID."
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Message","Pesan"
"Need to Confirm","Perlu konfirmasi"
"New Newsletter Template","template Laporan Berkala baru"
"New Template","template Baru"
"Newsletter","Laporan Berkala"
"Newsletter Message Preview","Buletin tinjauan pesan"
"Newsletter Problem Reports","Laporan masalah buletin"
"Newsletter Queue","Buletin antrian"
"Newsletter Section","bagian buletin"
"Newsletter Sign-up:","Buletin masuk:"
"Newsletter Styles","Gaya buletin"
"Newsletter Subscribers","Berlangganan buletin"
"Newsletter Subscription","Berlangganan buletin"
"Newsletter Subscription Form Before","Form berlangganan buletin sebelumnya"
"Newsletter Subscriptions","Berlangganan buletin"
"Newsletter Templates","template buletin"
"Newsletter subscription confirmation","Konfirmasi berlangganan buletin"
"Newsletter subscription success","Berlangganan buletin sukses"
"Newsletter unsubscription success","Berhenti berlangganan buletin sukses"
"No Templates Found","Tidak ada template ditemukan"
"No problems found.","No problems found."
"No subscribers selected.","No subscribers selected."
"Not Activated","Not Activated"
"Not Sent","Tidak terkirim"
"Pause","Jeda"
"Paused","Jeda"
"Please enter a valid email address.","Please enter a valid email address."
"Please enter new template name","Silakan masukan nama template baru"
"Please refer to exeption.log","Silakan merujuk ke exeption.log "
"Please select subscriber(s)","Silakan pilih berlangganan"
"Preview","Tinjauan"
"Preview Template","template Tinjauan"
"Processed","Diproses"
"Queue Date Start","Tanggal mulai antrian "
"Queue Finish","Antrian selesai"
"Queue Information","Informasi Antrian"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","Mulai antrian"
"Queue Subject","Subjek mulai"
"Recipients","Penerima"
"Reset","Set ulang"
"Resume","Ringkasan"
"Return HTML Version","Return HTML Version"
"Save As","Simpan sebagai"
"Save Newsletter","Simpan buletin"
"Save Template","Simpan template"
"Save and Resume","Save and Resume"
"Selected problem subscribers have been unsubscribed.","Selected problem subscribers have been unsubscribed."
"Selected problems have been deleted.","Selected problems have been deleted."
"Sender","Pengirim"
"Sender Email","Email pengirim"
"Sender Name","Nama pengirim"
"Sending","mengirim"
"Sent","terkirim"
"Sign Up for Our Newsletter:","Daftar untuk buletin kami:"
"Sign up for our newsletter","Daftar untuk buletin kami"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Maaf, tapi administrator menolak berlangganan untuk para tamu. Silahkan<a href=""%s"">Daftar</a>."
"Start","Mulai"
"Status","Status"
"Store","Toko"
"Store View","Tampilan toko"
"Subject","Subyek"
"Submit","Submit"
"Subscribe","Berlangganan"
"Subscribed","Berlangganan"
"Subscriber","Pelanggan"
"Subscribers","Pelanggan"
"Subscribers From","Pelanggan Dari"
"Subscription Options","Pilihan Langganan"
"Success Email Sender","Pengirim Email Sukses"
"Success Email Template","template Email Sukses"
"Template Content","Isi template"
"Template Information","Informasi template"
"Template Name","Nama template"
"Template Styles","Template Styles"
"Template Subject","Subyek template"
"Template Type","Jenis template"
"Thank you for your subscription.","Thank you for your subscription."
"The subscription has been removed.","The subscription has been removed."
"The subscription has been saved.","The subscription has been saved."
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: %s","Ada masalah dengan berlangganan: %s"
"There was a problem with the un-subscription.","Ada masalah dengan berhenti berlangganan ."
"This email address is already assigned to another user.","Alamat email ini sudah ditetapkan ke pengguna lain."
"Type","Jenis"
"Unconfirmed","belum dikonfirmasi "
"Unsubscribe","Berhenti berlangganan"
"Unsubscribe Selected","Berhenti berlangganan dipilih"
"Unsubscribed","Berhenti berlangganan"
"Unsubscription Email Sender","Berhenti berlangganan pengirim email"
"Unsubscription Email Template","Berhenti berlangganan template email"
"View Newsletter","Lihat buletin"
"Website","situs"
"You have been unsubscribed.","You have been unsubscribed."
"Your subscription has been confirmed.","Your subscription has been confirmed."
