"%d Review(s)","%d Tinjauan"
"%s Review(s)","%s Tinjauan"
"(Posted on %s)","(Dikirim pada %s)"
"1 star","1 bintang"
"2 star","2 bintang"
"2 stars","2 bintang"
"3 star","3 bintang"
"3 stars","3 bintang"
"4 star","4 bintang"
"4 stars","4 bintang"
"5 star","5 bintang"
"5 stars","5 bintang"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Tambahkan Tinjauan"
"Add Your Review","Tulis tinjauan Anda"
"Administrator","Administrator"
"All Reviews","Semua tinjauan"
"All Reviews of Customer `%s`","Semua Review Pelanggan `%s`"
"All Reviews of Product `%s`","Semua Review Produk `%s`"
"Allow Guests to Write Reviews","Semua Pengunjung untuk menulis Review"
"Approved","Disetujui"
"Are you sure you want to do this?","Anda yakin akan melanjutkan?"
"Are you sure?","Anda yakin?"
"Average Customer Rating","Rating Rata-rata Pelanggan"
"Average Customer Rating:","Rating Rata-rata Pelanggan:"
"Back","Kembali"
"Back to Main Product Info","Kembali ke Info Produk Utama"
"Back to My Reviews","Kembali ke Review Saya"
"Back to Product Reviews","Kembali ke Review Produk"
"Be the first to review this product","Tulis Tinjauan Anda tentang produk ini"
"Catalog Product Review View","Tampilan Review Produk Katalog"
"Catalog Product Reviews List","Daftar Review Produk Katalog"
"Created On","Dibuat Pada"
"Customer","Pelanggan"
"Customer My Account Product Reviews","Review Produk Pelanggan My Account"
"Customer My Account Review Details","Review Detail Pelanggan My Account"
"Customer Reviews","Tinjauan Pelanggan"
"Customers Reviews","Review Pelanggan"
"Delete","Hapus"
"Delete Review","Tinjauan Pelanggan"
"Detailed Rating","Rating Mendetail"
"Edit Review '%s'","Ubah Tinjauan '%s'"
"Guest","Tamu"
"How do you rate this product?","Bagaimana anda akan menilai produk ini?"
"ID","ID"
"Let us know your thoughts","Let us know your thoughts"
"Manage Ratings","Atur Rating"
"My Product Reviews","Tinjauan Produk saya"
"My Recent Reviews","Tinjauan saya saat ini"
"Name","Nama"
"Name in Store","Nama dalam toko"
"New Review","Tinjauan baru"
"Nickname","Nama panggilan"
"Nickname can\'t be empty","Nickname can\'t be empty"
"Not Approved","Tidak disetujui"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Hanya pengguna terdaftar yang dapat menulis tinjauan. silakan, <a href=""%s"">masuk</a> or <a href=""%s"">register</a>"
"Pending","Tertunda"
"Pending Reviews","Tinjauan tertunda"
"Pending Reviews of Customer `%s`","Tinjauan tertunta pelanggan `%s`"
"Please select a product","Silakan pilih produk"
"Please select one of each of the ratings above","Silakan pilih salah satu dari masing-masing peringkat atas"
"Posted By","Diposting oleh:"
"Price","Harga"
"Product","Produk"
"Product Name","Nama produk"
"Product Rating","Tingkatan Produk"
"Product Rating:","Tingkatan Produk:"
"Product Review (submitted on %s):","Tinjauan Produk (dikirim pada %s):"
"Product Reviews","Tinjauan produk"
"Product SKU","SKU produk"
"Products Reviews","Review Produk"
"Qty","Kuantitas"
"Rating:","Tingkatan:"
"Review","Tinjauan"
"Review (submitted on %s):","Tinjauan (Di kirim pada %s):"
"Review Details","Detil tinjauan"
"Review Form Fields Before","Tinjauan Bidang Formulir Sebelumnya"
"Review by %s","Tinjauan oleh %s"
"Review by <span>%s</span>","Tinjauan oleh <span>%s</span>"
"Review can\'t be empty","Tinjauan can\'t be empty"
"Review summary can\'t be empty","Tinjauan summary can\'t be empty"
"Reviews","Tinjauan"
"Reviews and Ratings","Tinjauan dan tingkatan"
"SKU","SKU"
"Save Review","Simpan Tinjauan"
"Status","Status"
"Submit Review","Kirim tinjauan"
"Summary Rating","Ringkasan Rating"
"Summary of Review","Ringkasan Tinjauan"
"Summary of Your Review","Ringkasan Tinjauan Anda"
"Title","Judul"
"Type","Tipe"
"Unable to post the review.","Tidak dapat mempost review."
"Update Status","Perbaruan Status"
"View All Reviews","Tampilkan Semua Tinjauan"
"View Details","Tampilkan Detail"
"Visible In","Nampak Di"
"Websites","Situs"
"What's your nickname?","What's your nickname?"
"Write Your Own Review","Tulis tinjauan Anda"
"You have submitted no reviews.","Anda belum pernah menulis tinjauan produk."
"You're reviewing:","You're reviewing:"
"Your Rating:","Rating Anda:"
"Your Review (submitted on %s):","Tinjauan Anda (dikirim pada %s):"
"Your review has been accepted for moderation.","Review Anda telah diterima untuk moderasi."
